hours_studied,marks,gender,subject,study_method,attempts
5.61,54.04,Male,English,Solo,2
2.92,30.0,Female,Science,Solo,2
6.5,70.46,Female,History,Group,3
6.88,52.76,Female,English,Group,3
1.1,30.0,Female,History,Solo,1
2.4,30.0,Female,History,Solo,3
5.26,53.2,Male,Math,Solo,2
4.37,49.99,Male,Science,Solo,1
4.97,55.24,Male,English,Solo,3
3.29,34.28,Female,History,Solo,1
6.76,61.36,Male,Math,Solo,2
6.56,69.75,Male,Science,Solo,3
5.13,43.56,Male,English,Group,1
7.25,60.26,Male,History,Group,1
5.94,68.81,Male,Math,Solo,2
3.28,38.52,Male,English,Solo,3
5.74,57.84,Male,Science,Solo,1
3.08,30.0,Male,Math,Solo,2
6.76,63.05,Male,English,Group,2
4.9,61.55,Male,Science,Group,1
4.63,46.55,Female,English,Group,3
3.64,40.68,Male,Science,Group,3
7.45,72.62,Male,History,Group,2
4.69,44.86,Male,Math,Group,1
4.14,45.7,Female,History,Solo,1
4.3,59.03,Female,Math,Solo,2
6.06,69.91,Female,English,Solo,2
5.73,51.88,Male,Science,Solo,2
5.83,52.92,Male,Science,Solo,1
5.86,69.77,Male,Math,Group,2
9.28,100.0,Female,English,Group,1
4.19,36.93,Female,Math,Solo,3
3.98,32.73,Female,English,Solo,3
3.37,36.57,Female,English,Solo,2
6.23,49.33,Female,History,Solo,1
7.26,74.06,Female,English,Group,3
4.77,33.74,Female,Science,Solo,1
3.32,30.0,Male,English,Group,3
3.35,36.86,Male,History,Solo,1
6.3,53.12,Female,Science,Solo,2
6.49,68.97,Male,Math,Solo,1
6.09,57.96,Male,History,Group,1
3.67,30.0,Female,Math,Group,3
5.46,45.92,Male,English,Solo,3
5.23,40.99,Female,Math,Group,1
5.44,45.88,Female,Math,Solo,3
6.74,56.31,Male,History,Group,1
5.45,59.55,Female,Math,Solo,1
6.36,66.48,Female,English,Solo,1
5.14,54.49,Female,English,Group,2
5.58,46.01,Male,Math,Solo,1
6.26,62.77,Female,Math,Solo,2
2.09,36.97,Female,History,Solo,1
4.36,50.85,Female,English,Solo,1
4.06,40.35,Male,Math,Group,2
3.72,32.94,Male,History,Group,3
4.45,42.72,Female,Science,Group,3
7.99,71.61,Male,Math,Solo,2
3.27,32.76,Male,History,Solo,1
6.94,63.14,Male,Math,Solo,3
1.63,30.0,Male,English,Solo,3
4.33,36.86,Male,History,Solo,3
5.33,57.09,Male,English,Group,3
6.17,57.32,Female,English,Group,3
6.42,74.62,Male,Science,Group,3
6.59,52.63,Male,Math,Solo,2
4.3,52.61,Male,English,Solo,2
4.08,32.67,Female,History,Solo,1
6.72,81.07,Male,Math,Solo,1
4.62,44.45,Female,History,Solo,3
2.45,30.0,Female,Science,Solo,3
2.73,30.0,Female,English,Solo,3
3.16,30.0,Female,Math,Group,1
5.99,70.18,Male,English,Solo,2
5.28,63.22,Female,Math,Group,1
6.38,50.88,Male,Science,Solo,3
4.15,34.54,Female,English,Solo,1
5.32,38.65,Female,Math,Solo,1
6.25,68.74,Female,Science,Solo,2
4.38,55.26,Female,English,Solo,3
5.91,58.59,Male,Math,Solo,3
3.68,36.02,Female,Science,Group,1
4.27,41.07,Female,Science,Solo,1
4.24,30.0,Female,English,Group,1
2.61,30.0,Male,History,Solo,1
5.97,58.25,Female,History,Solo,2
4.06,35.84,Male,Math,Solo,1
5.02,51.54,Male,Math,Solo,1
5.96,58.15,Male,Math,Group,2
5.89,58.21,Female,English,Group,1
6.33,56.81,Male,Math,Group,1
4.8,56.09,Male,Math,Solo,1
4.15,46.3,Male,History,Solo,1
4.84,52.25,Female,History,Group,2
1.63,30.0,Male,History,Solo,3
2.11,30.0,Female,Science,Solo,3
2.35,30.0,Female,English,Solo,1
3.01,37.5,Female,English,Group,1
5.8,63.87,Female,Math,Group,2
3.19,41.11,Male,English,Group,2
4.24,48.26,Male,English,Group,3
7.6,78.27,Male,Science,Solo,3
4.29,52.98,Female,History,Group,2
6.48,57.45,Female,English,Solo,1
3.13,30.0,Female,English,Group,1
4.59,38.19,Male,English,Solo,1
3.1,35.68,Male,History,Group,1
4.32,41.63,Male,English,Solo,3
6.68,60.16,Male,Science,Solo,1
1.55,30.0,Male,History,Solo,3
5.87,54.92,Female,English,Solo,2
5.48,47.73,Male,History,Solo,2
3.81,30.0,Female,Math,Group,2
2.11,30.0,Male,Science,Solo,3
5.14,39.85,Male,History,Group,1
3.94,47.88,Female,English,Solo,1
5.47,60.34,Female,History,Group,2
5.04,51.06,Male,Math,Solo,2
8.2,90.51,Male,Math,Group,2
4.52,51.57,Male,History,Solo,3
2.95,30.0,Female,Science,Solo,2
5.36,51.83,Male,English,Group,1
5.44,59.67,Female,Science,Solo,1
7.72,66.61,Male,Science,Solo,3
6.67,72.58,Female,History,Group,1
5.71,51.11,Male,Math,Group,2
7.93,91.5,Female,History,Solo,2
2.62,30.0,Female,History,Solo,3
3.72,35.16,Male,English,Group,3
3.15,30.0,Male,Science,Group,2
4.22,41.5,Female,Math,Group,1
2.25,30.0,Male,English,Solo,2
6.27,58.06,Male,Science,Group,2
4.56,47.02,Male,Math,Solo,1
2.06,30.0,Male,Science,Group,2
2.97,30.0,Male,History,Solo,1
5.63,43.82,Male,Science,Group,2
6.68,60.25,Male,Math,Solo,3
8.99,99.31,Male,English,Solo,3
10.0,95.95,Male,Math,Group,1
5.83,61.42,Male,History,Solo,3
3.02,35.02,Female,History,Group,1
1.0,30.0,Male,History,Solo,2
5.54,56.93,Male,History,Group,1
3.37,36.94,Male,Math,Solo,1
4.17,39.18,Female,Math,Solo,1
3.78,31.21,Male,Science,Solo,1
4.72,44.63,Male,Science,Solo,3
7.13,54.28,Male,History,Solo,1
5.31,52.34,Male,English,Group,2
4.68,61.24,Male,English,Group,3
2.93,30.0,Male,History,Group,3
1.65,30.0,Female,English,Solo,3
4.03,31.92,Female,Science,Solo,1
4.89,44.18,Male,Science,Solo,3
8.54,98.78,Female,English,Group,2
5.26,53.14,Female,Math,Group,1
6.97,72.65,Male,English,Solo,2
4.0,48.02,Male,English,Group,3
2.63,30.0,Male,English,Solo,2
3.07,30.0,Female,English,Solo,1
3.55,43.08,Male,History,Solo,3
9.26,86.5,Female,History,Solo,3
3.36,32.17,Male,English,Group,3
6.68,71.68,Female,Science,Group,3
3.19,36.22,Female,Math,Solo,3
6.86,62.8,Male,History,Solo,2
5.77,55.59,Male,History,Group,1
4.69,35.61,Female,English,Group,2
4.92,45.68,Male,History,Group,1
3.69,45.77,Male,History,Solo,2
5.89,55.31,Female,History,Group,2
4.09,31.35,Male,English,Solo,3
2.55,30.0,Male,Math,Group,1
2.44,30.0,Male,Math,Solo,1
5.35,68.77,Male,Math,Group,3
8.16,87.62,Female,Science,Solo,1
5.32,41.73,Female,English,Solo,2
4.76,59.8,Male,Science,Group,3
5.57,67.98,Male,Math,Group,2
7.61,71.78,Female,Math,Solo,2
5.44,53.29,Male,History,Group,3
4.18,37.89,Male,History,Group,2
7.21,81.35,Male,Science,Solo,3
5.86,63.63,Male,History,Solo,2
8.07,78.44,Female,English,Solo,1
5.37,47.1,Male,History,Group,2
2.55,30.0,Male,History,Solo,1
2.26,30.0,Female,English,Solo,3
8.3,77.98,Male,Science,Group,2
8.45,73.62,Female,English,Group,2
4.64,48.48,Male,Science,Group,2
4.23,44.48,Male,Science,Group,2
7.92,90.04,Male,English,Group,1
2.79,30.0,Female,English,Group,1
3.21,30.0,Female,English,Group,2
6.29,47.33,Male,Science,Solo,1
4.21,36.91,Male,Science,Solo,3
4.99,49.34,Male,Math,Solo,1
4.67,50.31,Female,English,Group,3
5.68,57.63,Male,English,Solo,2
7.81,83.87,Female,History,Solo,2
5.18,30.57,Female,English,Solo,1
6.29,78.5,Female,Science,Solo,2
1.0,30.0,Male,Math,Solo,3
4.9,52.34,Male,Math,Group,1
3.31,30.0,Male,Science,Group,1
2.56,30.0,Female,Science,Solo,2
3.24,30.0,Female,Science,Solo,1
4.33,37.2,Female,Science,Solo,1
6.83,52.5,Male,History,Group,2
2.35,30.0,Male,Math,Group,2
5.06,58.2,Female,Science,Solo,2
4.03,34.94,Female,Math,Group,3
4.34,53.04,Female,Science,Solo,3
7.01,70.66,Female,English,Solo,1
6.08,67.32,Male,Math,Group,2
7.67,65.64,Male,Science,Solo,1
4.69,41.9,Male,Math,Solo,1
3.61,42.19,Female,History,Solo,1
